utseconds, gps_lat, gps_lon, gps_alt, AOA, T_CAPS, T_MMS, qc_CAPS, qc_MMS, ps_CAPS, ps_MMS, PAS_CAPS, TAS_MMS
58924, 5.10023, -120.51689, 192.73, 2.29, 304.90, 297.33, 1014.683, 991.830, 93.32, 127.99, 123.29, 145.19
58924, 5.09897, -120.51689, 192.40, 2.26, 303.63, 297.31, 1014.683, 991.830, 93.24, 127.99, 122.98, 145.18
58924, 5.09772, -120.51690, 192.20, 2.33, 304.21, 297.29, 1014.683, 991.890, 92.89, 127.90, 122.88, 145.13
58924, 5.09649, -120.51691, 192.30, 2.39, 304.65, 297.25, 1014.683, 991.900, 92.19, 127.65, 122.53, 144.97
58924, 5.09525, -120.51692, 192.57, 2.39, 303.56, 297.26, 1014.683, 991.870, 93.15, 127.44, 122.91, 144.87
58924, 5.09400, -120.51693, 193.18, 2.27, 304.02, 297.25, 1014.683, 991.830, 93.67, 127.76, 123.33, 145.04
58924, 5.09277, -120.51694, 193.97, 2.36, 304.48, 297.27, 1014.683, 991.703, 92.54, 126.49, 122.71, 144.36
58924, 5.09152, -120.51695, 194.80, 2.22, 304.09, 297.27, 1014.683, 991.710, 93.32, 128.02, 123.12, 145.20
58924, 5.09028, -120.51696, 195.78, 2.19, 303.43, 297.26, 1014.683, 991.560, 93.32, 127.44, 122.99, 144.89
58924, 5.08904, -120.51698, 196.58, 2.23, 304.39, 297.28, 1014.683, 991.442, 93.50, 126.91, 123.29, 144.62
58924, 5.08780, -120.51699, 197.10, 2.09, 304.36, 297.26, 1014.683, 991.390, 93.50, 127.58, 123.29, 144.97
58924, 5.08649, -120.51701, 197.50, 1.91, 303.51, 297.27, 1014.683, 991.540, 94.72, 127.35, 123.87, 144.84
58924, 5.08531, -120.51702, 197.10, 2.11, 303.68, 297.27, 1014.683, 991.538, 92.89, 127.49, 122.77, 144.92
58924, 5.08407, -120.51704, 196.30, 2.03, 304.24, 297.32, 1014.683, 991.622, 93.94, 126.76, 123.53, 144.53
58924, 5.08284, -120.51706, 194.93, 2.36, 303.46, 297.27, 1014.683, 991.610, 92.98, 127.25, 122.78, 144.79
58924, 5.08159, -120.51707, 193.72, 2.35, 303.92, 297.26, 1014.683, 991.730, 93.06, 127.71, 122.93, 145.03
58924, 5.08035, -120.51709, 192.83, 2.37, 304.48, 297.26, 1014.683, 991.757, 92.89, 128.18, 122.93, 145.28
58924, 5.07911, -120.51711, 192.33, 2.47, 304.65, 297.27, 1014.683, 991.810, 93.06, 128.04, 123.07, 145.20
58924, 5.07786, -120.51712, 192.30, 2.40, 303.53, 297.31, 1014.683, 991.760, 92.36, 128.23, 122.41, 145.32
58924, 5.07661, -120.51714, 192.80, 2.37, 304.12, 297.33, 1014.683, 991.780, 92.98, 127.68, 122.91, 145.03
58924, 5.07537, -120.51715, 193.48, 2.21, 304.80, 297.36, 1014.683, 991.800, 92.89, 128.34, 122.99, 145.38
58924, 5.07413, -120.51716, 194.18, 2.13, 304.14, 297.36, 1014.683, 991.760, 94.98, 127.99, 124.16, 145.20
58924, 5.07289, -120.51717, 194.70, 2.14, 303.65, 297.37, 1014.683, 991.730, 93.67, 126.85, 123.25, 144.58
58924, 5.07166, -120.51718, 194.90, 2.16, 304.43, 297.36, 1014.683, 991.696, 93.50, 127.48, 123.30, 144.93
58924, 5.07032, -120.51718, 194.90, 2.26, 304.78, 297.35, 1014.683, 991.648, 93.94, 127.94, 123.64, 145.18
58924, 5.06902, -120.51719, 194.90, 2.07, 303.90, 297.34, 1014.683, 991.670, 94.55, 128.17, 123.84, 145.30
58924, 5.06792, -120.51719, 194.70, 2.21, 303.60, 297.36, 1014.683, 991.710, 94.37, 127.58, 123.68, 144.99
58924, 5.06610, -120.51720, 194.20, 2.10, 304.36, 297.38, 1014.683, 991.860, 93.59, 127.55, 123.34, 144.96
58924, 5.06540, -120.51721, 193.90, 2.07, 304.48, 297.40, 1014.683, 991.953, 93.24, 128.01, 123.15, 145.21
58924, 5.06418, -120.51721, 193.30, 2.26, 304.53, 297.40, 1014.683, 991.900, 93.41, 128.23, 123.27, 145.33
58924, 5.06294, -120.51721, 192.62, 2.34, 303.56, 297.40, 1014.683, 991.910, 93.15, 128.17, 122.91, 145.30
58924, 5.06170, -120.51722, 192.30, 2.41, 304.17, 297.36, 1014.683, 991.840, 93.41, 127.85, 123.19, 145.12
58924, 5.06045, -120.51722, 192.30, 2.30, 304.53, 297.37, 1014.683, 991.920, 92.80, 127.12, 122.89, 144.72
58924, 5.05921, -120.51723, 192.40, 2.33, 304.46, 297.39, 1014.683, 991.922, 92.80, 127.98, 122.87, 145.19
58924, 5.05797, -120.51724, 192.88, 2.44, 303.56, 297.40, 1014.683, 991.770, 93.15, 127.87, 122.91, 145.15
58924, 5.05673, -120.51724, 193.60, 2.30, 304.02, 297.40, 1014.683, 991.730, 93.06, 127.21, 122.95, 144.79
58924, 5.05549, -120.51724, 194.50, 2.06, 304.68, 297.40, 1014.683, 991.710, 94.81, 126.32, 124.16, 144.30
58924, 5.05424, -120.51724, 195.00, 2.25, 304.65, 297.38, 1014.683, 991.580, 93.85, 126.85, 123.56, 144.59
58924, 5.05301, -120.51724, 195.20, 2.22, 303.82, 297.36, 1014.683, 991.570, 94.72, 128.75, 123.94, 145.62
58924, 5.05176, -120.51724, 195.50, 2.05, 303.68, 297.35, 1014.683, 991.660, 94.81, 128.77, 123.96, 145.63
58924, 5.05053, -120.51723, 195.60, 1.88, 304.17, 297.40, 1014.683, 991.766, 95.42, 128.84, 124.44, 145.67
58924, 5.04929, -120.51723, 195.10, 2.13, 304.68, 297.40, 1014.683, 991.700, 94.46, 128.99, 123.95, 145.76
58924, 5.04802, -120.51722, 194.20, 2.20, 304.85, 297.37, 1014.683, 991.670, 94.11, 129.35, 123.77, 145.95
58924, 5.04680, -120.51721, 193.50, 2.26, 304.07, 297.40, 1014.683, 991.786, 94.20, 129.26, 123.66, 145.90
58924, 5.04556, -120.51721, 192.90, 2.12, 303.87, 297.45, 1014.683, 991.966, 94.55, 129.26, 123.84, 145.89
58924, 5.04431, -120.51721, 192.20, 2.18, 304.36, 297.47, 1014.683, 992.016, 93.50, 129.39, 123.29, 145.97
58924, 5.04285, -120.51720, 191.60, 2.34, 304.87, 297.44, 1014.683, 992.018, 93.15, 129.21, 123.17, 145.86
58924, 5.04174, -120.51719, 191.30, 2.51, 304.68, 297.41, 1014.683, 991.900, 93.85, 128.94, 123.57, 145.72
58924, 5.04056, -120.51719, 191.50, 2.22, 303.97, 297.43, 1014.683, 992.000, 93.94, 128.66, 123.48, 145.56
58924, 5.03932, -120.51719, 192.10, 2.19, 303.92, 297.42, 1014.683, 991.950, 93.50, 128.66, 123.20, 145.57
58924, 5.03810, -120.51719, 192.66, 2.20, 304.36, 297.41, 1014.683, 991.914, 94.63, 128.39, 123.99, 145.42
58924, 5.03686, -120.51720, 193.20, 2.16, 304.73, 297.41, 1014.683, 991.880, 94.11, 127.85, 123.74, 145.13
